Scheme Code,Scheme Name,Rating,Category,Launch Date,Expense Ratio,ret_1yr,AUM,Sortino Ratio,Beta,Alpha,ret_3 yr,ret_5yr
131901,Aditya Birla Sun Life 5 Star Multi Manager FoF Scheme - Direct Plan - Growth Option,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
131898,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Direct Plan - Growth Option,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
119436,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
119493,Aditya Birla Sun Life Asset Allocation - Aggressive Plan - Growth - Direct Plan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
119495,Aditya Birla Sun Life Asset Allocation - Moderate Plan - Growth - Direct Plan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
119490,Aditya Birla Sun Life Asset Allocation-Conservative Plan - Growth - Direct Plan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
131865,Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme - Direct Plan - Growth Option,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
120517,Aditya Birla Sun Life Balanced '95 Fund - Direct Plan-Growth,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
131670,Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
120533,Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan,* * * *,EQ-S BANK,12/14/2013,1.32,-3.77,1545.28,0.88,1.05,-0.97,23.04,24.12
125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,* * * *,EQ-S BANK,12/14/2013,1.32,-3.77,1545.28,0.88,1.05,-0.97,23.04,24.12
120529,Aditya Birla Sun Life Buy India Fund - Growth - Direct Plan,* * * *,EQ-S BANK,12/14/2013,1.32,-3.77,1545.28,0.88,1.05,-0.97,23.04,24.12
