,Scheme_Name,Rating,Category,Launch_Date,Expense_Ratio,ret_1yr,AUM,Sortino_Ratio,Beta,Alpha,ret_3yr,ret_5yr,x,y,Scheme_Code
103490,Quantum Long Term Equity Value Fund - Direct Plan Growth Option,* * *,EQ-VAL,3/13/2006,1.29,-1.66,903.24,0.82,0.68,-1.52,14.37,14.62,-5.2602691650390625,-24.241849899291992,103490
103734,Quantum Liquid Fund - Direct Plan Growth Option,* * *,EQ-MLC,7/20/2009,0.51,-6.39,30.17,0.67,0.93,-0.89,14.85,16.93,-21.044357299804688,12.25795841217041,103734
111549,Quantum Tax Saving Fund - Direct Plan Growth Option,* * *,EQ-ELSS,12/23/2008,1.29,-1.86,72.96,0.84,0.81,-0.05,14.47,14.64,-5.253432750701904,-24.244213104248047,111549
112039,Quantum Equity Fund of Funds - Direct Plan Growth Option,* * *,EQ-MLC,7/20/2009,0.51,-6.39,30.17,0.67,0.93,-0.89,14.85,16.93,7.136279106140137,-24.742124557495117,112039
115132,Quantum Gold Savings Fund - Direct Plan Growth Option,* * *,EQ-MLC,7/20/2009,0.51,-6.39,30.17,0.67,0.93,-0.89,14.85,16.93,-6.344705104827881,7.899064540863037,115132
116811,IDBI Dynamic Bond Fund Growth Direct,Unrated,EQ-T DIV Y,12/17/2018,-,-,123.48,-,-,-,-,-,21.203920364379883,23.220966339111328,116811
117608,Quantum Multi Asset Fund - Direct Plan Growth Option,* * *,EQ-VAL,3/13/2006,1.29,-1.66,903.24,0.82,0.68,-1.52,14.37,14.62,6.943609237670898,-2.8061461448669434,117608
118267,Canara Robeco Infrastructure-Direct Plan - Growth,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34,12.321349143981934,-30.608768463134766,118267
118269,Canara Robeco Large Cap+ Fund - Direct Plan - Growth,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34,5.789120674133301,-27.440702438354492,118269
118272,Canara Robeco Balance - Direct Plan - Growth,* * *,EQ-ELSS,1/1/2013,1.66,-17.12,196.08,0.41,1.1,-2.44,14.22,14.59,11.428624153137207,-15.252202033996582,118272
118273,Canara Robeco F.O.R.C.E Fund - Direct Plan - Growth,* * *,EQ-ELSS,1/2/2013,1.52,2.36,868.67,0.67,0.98,0.15,16.84,15.95,5.382330417633057,-15.130006790161133,118273
118275,Canara Robeco Equity Diversified-Direct Plan -Growth Option,* *,EQ-MLC,1/2/2013,1.76,1.55,922.19,0.7,1,0.38,17.9,15.36,8.529650688171387,-28.305418014526367,118275
118278,Canara Robeco Emerging Equities-Direct Plan-Growth Option,* * * * *,EQ-L&MC,1/2/2013,0.95,-8.3,4096.85,0.76,1.13,1,19.98,27.57,7.890689373016357,-13.32532024383545,118278
118282,Canara Robeco Income-Direct Plan - Growth Option,* * *,EQ-ELSS,1/2/2013,1.52,2.36,868.67,0.67,0.98,0.15,16.84,15.95,15.880880355834961,20.870065689086914,118282
118284,Canara Robeco Dynamic Bond Fund - Direct Plan - Growth,Unrated,EQ-T Consumption,1/2/2013,1.44,2.86,295.59,0.83,1,4.4,21.15,21.26,16.68606948852539,21.98233413696289,118284
118285,Canara Robeco Equity Taxsaver - Direct Plan - Growth Option,* * *,EQ-ELSS,1/2/2013,1.52,2.36,868.67,0.67,0.98,0.15,16.84,15.95,4.169032096862793,-27.2123966217041,118285
118291,Canara Robeco Savings Plus Fund-Direct Plan - Growth Option,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34,-15.250732421875,28.59724235534668,118291
118299,Canara Robeco Gilt PGS-Direct Plan - Growth option,* * *,EQ-ELSS,1/2/2013,1.52,2.36,868.67,0.67,0.98,0.15,16.84,15.95,18.68533706665039,24.889034271240234,118299
118301,Canara Robeco Gold Savings Fund - Direct Plan - Growth Option,* * *,EQ-ELSS,1/2/2013,1.52,2.36,868.67,0.67,0.98,0.15,16.84,15.95,-6.046253681182861,7.417809009552002,118301
118305,Canara Robeco Liquid- Direct Plan-Growth,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34,-20.15567398071289,15.183695793151855,118305
118309,Canara Robeco Monthly Income Plan-Direct Plan - Growth Option,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34,9.422022819519043,-1.0797489881515503,118309
118317,Canara Robeco Treasury Advantage Fund - Direct Plan- Growth option,Unrated,EQ-SC,2/8/2019,-,-,-,-,-,-,-,-,-19.452789306640625,21.768346786499023,118317
118320,Canara Robeco Yield Advantage Fund - Direct Plan - Growth,Unrated,EQ-SC,2/8/2019,-,-,-,-,-,-,-,-,-3.7824079990386963,29.81603240966797,118320
118341,IDBI Gilt Fund Growth Direct,Unrated,EQ-LC,11/13/2017,0.39,-6,270.68,-,-,-,-,-,23.224618911743164,21.33345603942871,118341
118344,IDBI India Top 100 Equity Fund Growth Direct,*,EQ-LC,1/1/2013,1.01,-5.4,370.49,0.43,0.95,-3.5,11.66,13.65,6.318121910095215,-23.468812942504883,118344
118345,IDBI Liquid Fund Growth Direct,*,EQ-LC,1/1/2013,1.01,-5.4,370.49,0.43,0.95,-3.5,11.66,13.65,-21.475910186767578,18.54604148864746,118345
118347,IDBI NIFTY Index Fund Growth Direct,* *,EQ-LC,1/1/2013,0.2,3.34,220.17,0.84,1,-0.73,16.13,12.66,-2.9903006553649902,-35.400001525878906,118347
118348,IDBI Nifty Junior Index Fund Growth Direct,* * * *,EQ-LC,1/1/2013,0.23,-13.16,47.99,0.72,1.02,0.04,15.83,17.31,1.9974331855773926,-15.614023208618164,118348
118349,IDBI Short Term Bond Fund Growth Direct,* * * *,EQ-LC,1/1/2013,0.23,-13.16,47.99,0.72,1.02,0.04,15.83,17.31,-5.973785400390625,26.30606460571289,118349
118350,IDBI UST Growth Direct,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,-16.908174514770508,29.345232009887695,118350
118364,IDFC Cash Fund -Direct Plan -Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,-20.85032081604004,17.982213973999023,118364
118371,IDFC  Ultra Short Term Fund-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,-16.03350067138672,28.975805282592773,118371
118384,IDFC Money Manager Fund - Treasury Plan -Direct Plan-Growth,* * *,EQ-LC,1/1/2013,1.81,-1.71,392.21,0.82,0.94,0.33,15.95,12.47,-17.646442413330078,29.769426345825195,118384
118387,IDFC Government Securities Fund - Short Term -Direct Plan-Growth,* * *,EQ-MLC,1/1/2013,0.72,-13.17,1565.88,0.84,0.88,2.15,16.61,12.84,-4.728699207305908,23.703933715820312,118387
118394,IDFC Bond Fund - Long Term Plan - Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,16.71920394897461,21.181026458740234,118394
118401,IDFC Bond Fund - Medium Term Plan-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,2.3002097606658936,24.41368865966797,118401
118407,IDFC   Super Saver Income Fund - Short Term-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,-4.16106653213501,24.943479537963867,118407
118410,IDFC   All Seasons Bond Fund-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,-3.357393503189087,23.11874771118164,118410
118416,IDFC  Dynamic Bond Fund-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,16.632631301879883,21.11540985107422,118416
118419,IDFC Classic Equity Fund-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,1.3480839729309082,-12.651312828063965,118419
118421,IDFC Focused Equity Fund-Direct Plan-Growth,* * *,EQ-MLC,1/1/2013,0.72,-13.17,1565.88,0.84,0.88,2.15,16.61,12.84,-1.4514291286468506,-30.139760971069336,118421
118424,IDFC Premier Equity Fund-Direct Plan-Growth,* * *,EQ-LC,1/1/2013,0.18,3.54,141.74,0.89,0.99,-0.28,16.58,13.24,10.293810844421387,-21.86464500427246,118424
118427,Indiabulls Gilt Fund - Direct Plan -  Growth Option,* * * *,EQ-LC,1/1/2013,1.11,-0.6,293.48,0.9,1.03,0.36,17.63,14.79,19.8044490814209,21.79583740234375,118427
118452,IDBI Equity Savings Fund Growth Option Direct,* * *,EQ-ELSS,9/10/2013,0.81,-4.33,594.85,0.56,0.84,-0.92,12.64,19.42,10.591560363769531,2.5808887481689453,118452
118464,IDFC  Government Securities Fund-  Investment Plan-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,17.16685676574707,21.041309356689453,118464
118469,IDFC  Infrastructure Fund-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,16.524253845214844,-27.100088119506836,118469
118473,IDFC Tax Advantage  (ELSS) Fund-Direct Plan-Growth,* * *,EQ-VAL,1/1/2013,0.86,-18.2,2872.68,0.6,0.77,-0.16,16.83,18.1,-2.0197837352752686,-19.107852935791016,118473
118474,IDFC  Arbitrage Fund-Direct Plan- Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,-25.517961502075195,9.882148742675781,118474
118477,IDFC Equity Savings Fund-Direct Plan-Growth,Unrated,EQ-MLC,7/27/2018,-,-,143.14,-,-,-,-,-,-6.58458948135376,26.573766708374023,118477
118479,IDFC Equity Fund-Direct Plan-Growth,* * * *,EQ-L&MC,1/1/2013,0.72,-8.62,2825.78,0.79,0.92,0.5,16.69,14.65,-4.172774791717529,-32.51740264892578,118479
118481,IDFC Sterling Equity Fund-Direct Plan-Growth,* * *,EQ-LC,1/1/2013,0.18,3.54,141.74,0.89,0.99,-0.28,16.58,13.24,-1.4006057977676392,-18.41735076904297,118481
118482,IDFC Nifty Fund-Direct Plan-Growth,* * *,EQ-LC,1/1/2013,0.18,3.54,141.74,0.89,0.99,-0.28,16.58,13.24,-3.154433250427246,-35.74300765991211,118482
118485,IDFC  Asset Allocation Fund Of Fund-Aggressive Plan-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,7.1298441886901855,-11.312546730041504,118485
118486,IDFC  Asset Allocation Fund Of Fund-Conservative Plan-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,5.7113356590271,2.5883290767669678,118486
118491,IDFC  Monthly Income Plan-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,8.55565071105957,2.8390443325042725,118491
118493,Templeton India Growth Fund-Direct - Dividend,Unrated,EQ-T DIV Y,1/1/2013,1.83,-7.16,935.02,0.82,0.87,-0.36,15.99,14.26,-3.8243906497955322,-28.261474609375,118493
118494,Templeton India Growth Fund - Direct - Growth,Unrated,EQ-T DIV Y,1/1/2013,1.83,-7.16,935.02,0.82,0.87,-0.36,15.99,14.26,1.635040521621704,-18.797813415527344,118494
118495,Franklin India Dynamic Accrual Fund - Direct - Growth,* *,EQ-LC,1/1/2013,1.23,-3.76,7685.4,0.65,0.93,-2.38,13.01,13.99,-4.253698825836182,31.921112060546875,118495
118498,Franklin India GOVERNMENT SECURITIES FUND - Long Term Plan - Direct - Growth,* * *,EQ-MLC,1/1/2013,0.99,-7.25,7527.5,0.86,0.96,0.68,15.88,20.44,23.199983596801758,22.88859748840332,118498
118506,Franklin India Savings Plus Fund - Direct - Growth,* * * *,EQ-MC,1/1/2013,0.99,-9.39,6457.92,0.73,0.78,0.78,15.42,22.19,-16.674259185791016,27.109682083129883,118506
118508,Franklin India Cash Management Account - Direct - Growth,* *,EQ-LC,1/1/2013,1.23,-3.76,7685.4,0.65,0.93,-2.38,13.01,13.99,-17.45008659362793,12.159680366516113,118508
118510,Franklin India FLEXI CAP FUND - Direct - Growth,Unrated,EQ-INTL,1/2/2013,0.9,19.18,746.43,0.89,-,-,18.99,11.44,9.62830638885498,-21.740921020507812,118510
118512,Franklin INDIA LIFE STAGE FUND OF FUNDS - THE 20S PLAN - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,11.466575622558594,-15.487442016601562,118512
118514,Franklin India Life Stage Fund of Funds - The 30s Plan - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,8.533889770507812,-9.944854736328125,118514
118516,Franklin India Life Stage Fund of Funds - The 40s Plan - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,7.599242210388184,-0.4852291941642761,118516
118518,Franklin India Life Stage Fund of Funds - The 50s Plus - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,5.766721248626709,1.9543637037277222,118518
118519,Franklin India Life Stage Fund Of Funds - The 50S Plus Floating Rate Plan - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,4.964760780334473,0.36997532844543457,118519
118525,Franklin India Smaller Companies Fund - Direct - Growth,* * * *,EQ-MC,1/1/2013,0.99,-9.39,6457.92,0.73,0.78,0.78,15.42,22.19,8.988720893859863,-10.811152458190918,118525
118527,Templeton India EQUITY INCOME FUND - Direct - Growth,* * *,EQ-ELSS,1/1/2013,1.88,-1.9,62.01,0.96,0.97,1.96,18.75,16.13,0.9108370542526245,-19.330137252807617,118527
118530,Franklin India Low Duration Fund - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,-10.752339363098145,30.64411735534668,118530
118531,Franklin India Bluechip Fund- Direct - Growth,* *,EQ-LC,1/1/2013,1.23,-3.76,7685.4,0.65,0.93,-2.38,13.01,13.99,12.018749237060547,-16.067598342895508,118531
118533,Franklin India PRIMA FUND - Direct - Growth,Unrated,EQ-THEMATIC,1/1/2013,2.04,-9.07,573.75,0.52,0.98,-2.16,13.38,16.66,9.54244327545166,-11.10074234008789,118533
118535,Franklin India PRIMA PLUS - Direct - Growth,* * * *,EQ-MC,1/1/2013,0.99,-9.39,6457.92,0.73,0.78,0.78,15.42,22.19,13.425116539001465,-15.300115585327148,118535
